Employee ID,First Name,Last Name,Age,Gender,DOB,Date Joined,Date Resigned,Department,Salary,Performance level
53,Jackie,Peterson,40,Decline to comment,4/26/2023,12/2/2023,12/24/2027,HR,103223,Outstanding
54,David,Fitzpatrick,65,N/A,NULL,8/11/2021,4/19/2025,Marketing,182878,Below
55,Brandon,Macdonald,89,M,10/31/1935,6/19/2023,1/7/2026,Operations,176106,Needs Improvement
56,Joseph,Thompson,47,F,6/14/2015,8/2/2023,11/27/2025,Sales,149314,Outstanding
57,Victoria,Matthew,39,F,6/3/1948,6/22/2020,4/17/2024,Operations,51645,Meets
58,James ,Martinez,41,M,NULL,8/29/2023,4/21/2027,Finance,128529,Below
59,Andrew,Gonzalez,25,F,8/23/1962,3/30/2023,3/4/2024,Marketing,43072,Meets
60,Leon,Horton ,22,N/A,11/5/2015,7/17/2020,5/11/2022,IT,100105,Meets
61,Jesus,Wood,36,M,2/28/1989,6/1/2021,11/3/2022,IT,86347,Exceeds
62,Wendy ,Ramirez,21,M,4/18/1931,11/15/2020,2/12/2022,Sales,15392,Exceeds
63,Nicholas,Tucker,25,F,3/15/1982,8/5/2023,10/11/2023,HR,158867,Outstanding
64,Wayne,Carter ,50,Decline to comment,11/10/1918,5/17/2023,3/25/2027,Sales,11208,Outstanding
65,Allen,Lowe ,24,F,2/15/1913,10/5/2022,12/23/2025,Sales,154959,Meets
66,Susan,Yates,44,M,8/7/1999,9/28/2022,1/31/2025,Customer Service,185711,Outstanding
67,Laura,Anderson,59,F,1/26/1921,12/2/2023,3/2/2027,Customer Service,153211,Needs Improvement
68,Lauren,Morse,70,F,10/8/1999,3/4/2021,3/2/2024,IT,76549,Needs Improvement
69,Jennifer,Monroe,62,F,1/18/1956,5/26/2022,4/28/2023,HR,142506,Below
70,Smith,Wall,58,F,NULL,9/18/2022,11/24/2022,HR,45759,Needs Improvement
71,Scott,Dixon,32,M,1/27/1973,3/29/2022,12/22/2025,Marketing,163754,Below
72,Jacob,Smith,60,N/A,6/12/1950,2/29/2020,7/26/2022,IT,113284,Meets
73,Holly ,Dillon,33,M,4/23/1975,6/5/2021,8/5/2024,Customer Service,76383,Below
74,Nicole,Fields,31,M,5/18/2006,12/2/2023,4/11/2028,Operations,168383,Outstanding
75,Walker,Moore,60,F,11/19/1986,12/2/2023,10/10/2028,Operations,85231,Meets
76,Emily ,Rogers ,26,N/A,1/29/1993,6/29/2022,1/10/2024,Finance,158291,Meets
77,Omar,Hill,36,N/A,7/19/1953,8/14/2022,5/1/2026,HR,93720,Exceeds
78,Chloe,Campbell,23,M,1/24/1946,5/20/2022,1/10/2023,Engineering,97394,Outstanding
79,Brian,Flores,68,F,NULL,12/28/2022,1/2/2024,Marketing,15598,Needs Improvement
80,Sarah,Myers,58,N/A,5/5/2015,7/21/2022,8/8/2023,Customer Service,107390,Needs Improvement
81,William,Faulkner,51,F,3/9/1973,7/22/2020,2/25/2021,Operations,196950,Exceeds
82,Glenn,Farrell,55,F,5/3/1986,12/2/2023,2/25/2026,IT,70469,Below
83,Amy,Bailey,62,F,3/13/1919,10/7/2022,2/15/2023,IT,117694,Below
84,Brenda,Owen ,78,F,2/27/1946,3/2/2022,12/9/2022,Operations,93996,Below
85,Paige,Bradford ,54,M,11/1/2012,12/2/2023,9/15/2028,HR,42235,Needs Improvement
86,Kirk ,Duncan,77,F,6/16/1947,4/14/2020,9/2/2022,Marketing,96580,Below
87,Jordan,Mejia,42,F,7/7/1912,9/1/2021,4/1/2025,Sales,57559,Meets
88,Jonathan,Patel,69,Decline to comment,NULL,12/2/2023,10/20/2024,IT,188021,Exceeds
89,Beverly ,Hall,19,Decline to comment,8/18/1974,12/2/2023,3/15/2025,IT,125303,Needs Improvement
90,Joel,Martin,64,M,NULL,12/2/2023,12/8/2026,HR,189355,Below
91,Vincent,Buckley,55,F,6/26/2000,6/6/2020,11/8/2023,HR,33454,Meets
92,Harris,Ray,34,F,12/2/2016,2/16/2023,5/19/2024,Finance,134956,Exceeds
93,Patricia,Hansen,60,M,8/24/1954,12/2/2023,6/21/2026,Engineering,146587,Outstanding
94,Daniel ,Miller,46,M,5/27/1928,5/1/2021,9/19/2024,Sales,85489,Below
95,Brenda,Carroll,37,M,4/11/1975,5/19/2023,2/21/2026,Marketing,133977,Meets
96,Katie,Luna,60,Decline to comment,6/9/1985,2/28/2022,1/23/2024,HR,59966,Outstanding
97,Joshua,Powell,103,F,3/30/1921,7/20/2022,11/21/2023,Engineering,164157,Outstanding
98,Priscilla,Simmons,52,Decline to comment,7/4/1972,12/2/2023,8/23/2026,HR,100023,Exceeds
99,Elizabeth,Peters,32,N/A,12/29/1928,2/9/2020,7/10/2023,Sales,78168,Outstanding
100,Courtney,Robert,36,F,1/29/2001,5/19/2020,7/22/2020,Engineering,173198,Meets
101,Tyler,Eaton ,62,N/A,4/18/2015,2/19/2021,6/8/2024,Marketing,193607,Meets
102,Edward,Lee,37,F,12/19/1942,3/6/2020,2/1/2024,IT,159161,Outstanding
103,David,Rodriguez,63,F,1/20/2024,12/6/2022,2/26/2023,Operations,173347,Outstanding
104,Joshua,Hughes,32,F,NULL,12/3/2022,7/2/2025,Engineering,83868,Below
105,Samantha,Austin,35,F,11/23/1941,8/26/2023,10/25/2025,Sales,34503,Outstanding
106,Robert,Jones,116,M,11/15/1908,12/2/2023,6/3/2025,Finance,32505,Below
107,Andrew,Brewer,19,F,2/24/1948,8/28/2023,8/30/2024,Sales,145604,Below
108,Eric,Ramos,48,M,4/22/2001,6/1/2023,3/23/2024,HR,13391,Outstanding
109,Alexandra,Everett,68,F,9/12/1996,12/28/2023,9/25/2026,HR,119092,Below
110,Alisha,Meyer,67,M,NULL,2/5/2023,4/25/2024,Customer Service,136737,Needs Improvement
111,Jessica,William,35,Decline to comment,NULL,5/30/2021,1/7/2024,HR,132756,Below
112,Derek,Phillips,65,M,9/16/1945,12/31/2023,4/12/2024,IT,82343,Meets
113,William,Greene,22,M,12/15/1946,5/31/2023,6/27/2025,HR,172333,Needs Improvement
114,Crystal,Garner,45,F,8/7/2003,12/2/2023,3/18/2028,Engineering,142775,Needs Improvement
115,Benjamin,Hull,55,F,8/22/1915,12/2/2023,1/10/2028,Engineering,50342,Below
116,Matthew,Mclaughlin,22,F,9/17/2002,5/13/2022,10/5/2023,Engineering,15391,Meets
117,Kimberly,George,NULL,F,NULL,7/2/2020,8/30/2023,Marketing,4115,Exceeds
118,Jenna,Goodman,24,M,10/21/1922,5/23/2021,4/15/2023,Engineering,139673,Exceeds
119,Cooke,Navarro,65,M,11/4/1934,9/3/2020,12/1/2023,Engineering,191211,Below
120,Julie,Garcia,66,M,6/3/1909,12/2/2023,6/16/2028,Engineering,30497,Outstanding
121,Angela ,Franklin,63,F,1/3/1932,10/23/2020,12/12/2020,HR,55162,Meets
122,Dennis,Bates,39,M,1/26/1984,12/26/2020,8/16/2022,Customer Service,55530,Meets
123,Cheryl,Snyder ,37,Decline to comment,NULL,7/27/2022,1/14/2023,HR,106163,Meets
124,John,Le,25,Decline to comment,3/21/1958,12/8/2022,3/27/2024,Customer Service,134082,Outstanding
125,Lori,Payne,43,Decline to comment,1/19/1947,12/2/2023,4/10/2026,Customer Service,181284,Meets
126,Robert,Hill,39,Decline to comment,10/21/2018,4/4/2023,10/1/2023,Engineering,35391,Needs Improvement
127,Joseph,Gray,44,Decline to comment,1/13/1939,8/11/2022,10/14/2024,HR,15797,Needs Improvement
128,Christopher,Rodriguez ,57,F,1/1/1963,8/16/2022,8/2/2025,Sales,146998,Exceeds
129,Jonathan ,Marsh,25,Decline to comment,9/2/1939,12/2/2023,8/25/2024,Customer Service,110640,Needs Improvement
130,Cory,Parker,72,M,10/16/1952,8/14/2020,1/22/2024,Sales,5294,Below
131,Lauren,Smith,43,M,10/20/2022,12/8/2022,7/24/2024,IT,101301,Outstanding
132,Anthony,Harris,31,F,12/18/1922,1/25/2022,9/29/2025,Sales,4859,Outstanding
133,Veronica ,Hernandez,64,M,7/1/1986,12/2/2023,1/18/2025,Customer Service,145949,Below
134,Thomas ,Woods,42,M,3/31/1948,11/26/2023,6/19/2027,Sales,168216,Meets
135,Jermaine ,Armstrong,22,M,12/5/1910,12/2/2023,6/2/2028,Sales,118315,Outstanding
136,Clifford,Salas,59,M,4/3/1974,12/2/2023,11/29/2024,Marketing,56726,Needs Improvement
137,Heather,Simpson,NULL,M,NULL,9/6/2023,12/1/2025,IT,163734,Below
138,Tyler,Torres,99,M,4/5/1925,12/2/2023,10/10/2027,Engineering,135671,Needs Improvement
139,Kyle,Schwartz,43,F,6/23/1914,3/9/2020,8/25/2021,HR,96679,Meets
140,Jamie,Lopez,62,Decline to comment,1/29/1993,11/4/2022,1/6/2024,Customer Service,161070,Below
141,Jennifer,Thomas,59,Decline to comment,NULL,9/26/2023,8/19/2024,Customer Service,140378,Exceeds
142,Madison,Bowman ,27,N/A,NULL,12/29/2021,4/30/2022,Engineering,171091,Exceeds
143,Cameron,Lang,69,F,3/16/1956,7/3/2022,10/20/2025,Engineering,122905,Needs Improvement
144,Samuel,Lawson,96,M,11/25/1928,9/14/2021,12/21/2023,IT,33945,Below
145,Pamela,Cox,35,F,7/19/2021,12/22/2020,6/22/2021,Customer Service,141088,Meets
146,Burke,Harris,54,M,6/11/1968,10/3/2023,9/14/2027,IT,50968,Needs Improvement
147,Lynn,Juan,63,M,5/23/2001,7/13/2020,8/11/2022,Sales,120451,Meets
148,Laura,Ray,24,Decline to comment,12/19/1936,3/26/2023,6/10/2025,HR,146611,Exceeds
149,Bonnie,Cox,113,N/A,11/28/1911,4/13/2022,8/25/2025,Finance,59497,Outstanding
150,Shannon,Fleming,53,Decline to comment,1/27/1968,7/15/2020,10/15/2023,Customer Service,116602,Needs Improvement
151,Kimberly,Miller,67,M,9/28/1932,2/5/2022,4/25/2025,Customer Service,3106,Exceeds
152,Victoria,Clark,55,M,12/12/1960,2/21/2021,9/16/2022,Finance,171935,Below
153,Laura,Rodriguez,65,M,11/12/2000,4/27/2020,9/13/2020,IT,44009,Exceeds
154,Charles,Mclaughlin,20,M,10/4/1920,12/2/2023,12/8/2024,Engineering,154149,Meets
155,Gabrielle,Velazquez ,35,M,4/5/1993,4/12/2021,12/16/2024,HR,4168,Needs Improvement
156,Herbert,Carey,61,F,NULL,10/19/2020,1/20/2022,Sales,112275,Exceeds
157,Eric,Garcia,48,N/A,3/1/1961,2/20/2022,12/21/2025,Sales,127486,Exceeds
158,Henry,Abbott,26,F,8/23/1929,12/22/2021,7/14/2024,Engineering,8973,Exceeds
159,Jessica ,Davis,21,F,2/7/1990,1/24/2020,1/19/2024,IT,82126,Needs Improvement
160,Jenkins,Ward,70,M,7/28/1969,9/16/2023,1/2/2024,Finance,150315,Exceeds
161,Amy,Butler,25,Decline to comment,3/4/1920,12/2/2023,10/20/2026,IT,179160,Needs Improvement
162,Linda ,Allen,66,M,3/7/2003,8/3/2022,9/22/2022,IT,189649,Below
163,Benjamin,Miller,49,F,6/23/1919,4/25/2020,12/11/2020,Sales,53455,Outstanding
164,Daniel,Nguyen,48,N/A,6/18/1960,5/19/2021,5/17/2022,Finance,11340,Needs Improvement
165,William,Ruiz,69,F,10/15/2015,2/29/2020,8/6/2021,Operations,111282,Below
166,Lori,Esparza,20,N/A,4/12/1930,12/2/2023,1/2/2026,Sales,71233,Meets
167,Joseph,Dyer,44,F,2/3/2005,8/23/2021,8/6/2023,Sales,141353,Meets
168,Helen ,Randall,70,M,10/31/1932,9/17/2022,7/31/2024,HR,181353,Meets
169,Taylor,White,70,M,2/26/2007,12/2/2023,10/2/2025,IT,158441,Below
170,Jennifer,Knight ,28,F,3/24/1945,7/18/2020,9/14/2020,Finance,179272,Outstanding
171,Deborah,Saunders,53,Decline to comment,NULL,3/30/2022,9/8/2025,Customer Service,78888,Below
172,Jones,Lopez,52,M,11/1/1956,10/5/2022,2/12/2025,Sales,75750,Meets
173,Nina,Brown,36,F,3/7/1922,9/8/2021,11/15/2023,Sales,62935,Exceeds
174,James,Johnson,21,N/A,NULL,7/26/2020,7/15/2022,HR,98545,Outstanding
175,Teresa,Lin,19,M,3/6/1913,12/2/2023,5/7/2026,HR,141226,Exceeds
176,Powell,Little,23,M,2/21/1954,1/26/2022,12/22/2024,HR,123133,Needs Improvement
177,Andrew,Barker,53,M,9/27/1940,1/12/2021,8/27/2024,Operations,87399,Outstanding
178,Margaret,Wang,39,N/A,7/28/1954,12/2/2023,6/27/2028,Engineering,57686,Below
179,Cody,Kirk ,29,M,1/24/1909,10/17/2020,6/5/2022,Marketing,125492,Meets
180,Alexander,Morse,55,M,11/2/1934,11/21/2022,11/13/2025,HR,179193,Outstanding
181,Tammy,Smith,61,M,11/14/2004,4/29/2021,4/6/2023,Customer Service,83996,Exceeds
182,Marissa,Lisa,64,Decline to comment,9/18/1978,4/19/2020,11/3/2023,HR,13166,Exceeds
183,Jessica,Hancock,43,M,4/18/1955,12/2/2023,10/22/2026,Finance,36556,Meets
184,Ashley,Gill,51,M,5/31/2020,12/2/2023,4/26/2025,Marketing,184865,Meets
185,Sarah,Harris,48,F,5/5/2000,7/3/2022,2/27/2024,Operations,147954,Needs Improvement
186,Lindsey,Gonzalez,93,N/A,12/22/1931,4/28/2023,10/18/2024,Engineering,139968,Exceeds
187,Lindsey,Hogan,51,F,4/3/1933,8/18/2020,3/28/2023,Marketing,156269,Needs Improvement
188,David,Heather,69,F,8/18/1956,1/10/2020,7/26/2023,Marketing,136804,Exceeds
189,Kelsey,Cobb ,NULL,N/A,NULL,9/3/2023,2/3/2027,Customer Service,82484,Needs Improvement
190,Megan,Dodson,56,M,NULL,4/19/2021,7/14/2024,Marketing,41984,Outstanding
191,Pamela,Harper,60,F,11/9/1918,6/6/2022,1/13/2025,Sales,181929,Exceeds
192,Andrea,Crosby,20,M,10/3/1963,5/18/2020,2/17/2024,Engineering,156112,Needs Improvement
193,Dennis,Wagner,32,M,6/1/1992,6/12/2021,6/19/2024,IT,4133,Needs Improvement
194,Shawn,Warren,56,F,1/26/1923,7/28/2022,2/12/2023,Operations,139051,Needs Improvement
195,David ,Bates ,40,M,NULL,3/6/2022,2/22/2026,IT,47696,Needs Improvement
196,Barry,Cardenas,32,F,12/23/1975,12/2/2023,8/2/2026,Finance,73114,Outstanding
197,Katherine,Carter,22,F,10/9/1979,7/9/2020,8/15/2023,Operations,110615,Meets
198,Anthony,Terrell,61,M,7/22/1965,12/2/2023,8/7/2025,Operations,71851,Below
199,Suarez,Copeland,20,M,10/20/2004,12/2/2023,10/11/2025,HR,63846,Meets
200,Julia,Watson,45,F,4/30/1961,2/6/2020,4/21/2022,IT,131988,Exceeds
201,Michael,Lewis,32,M,6/1/1992,12/2/2023,10/25/2025,Engineering,181717,Needs Improvement
202,Patrick,Lopez,43,M,11/20/1989,10/4/2023,12/30/2023,Customer Service,162142,Needs Improvement
203,John,Hernandez,33,M,12/24/1999,2/20/2020,4/1/2021,Engineering,48371,Exceeds
204,Cody,Rodgers,40,M,4/26/1926,10/13/2022,12/11/2025,HR,89312,Outstanding
205,Gregory,Bryant,24,F,5/10/2010,7/10/2022,9/4/2024,Operations,162350,Exceeds
206,Jacob,Martin,60,M,6/19/1964,5/28/2023,5/15/2025,Operations,150988,Exceeds
207,Brandon,Peck ,63,M,2/19/1990,12/2/2023,5/11/2026,HR,59704,Needs Improvement
208,Derek,Simon,42,M,9/14/1995,1/25/2021,7/25/2021,Customer Service,36609,Exceeds
209,Matthew,Griffin,47,N/A,8/19/1975,12/2/2023,3/18/2025,IT,32840,Outstanding
210,Shannon,Anderson,45,F,7/19/2011,5/21/2022,11/18/2025,Customer Service,89472,Needs Improvement
211,Whitney,Galloway,26,F,8/20/1945,8/6/2022,5/17/2023,Engineering,137404,Meets
212,Stephen,Adams,59,M,9/2/1931,11/21/2023,6/8/2025,Finance,101022,Needs Improvement
213,Stacey,Miller,34,M,6/16/2023,12/2/2023,10/2/2027,IT,126186,Needs Improvement
214,Alexander,Morris,39,F,4/6/1941,3/3/2023,2/28/2025,IT,146084,Meets
215,Doris,Wong,58,M,3/18/1925,12/2/2023,4/8/2025,Marketing,182491,Exceeds
216,Ryan,Ramsey,21,Decline to comment,4/30/2022,5/23/2020,4/12/2023,IT,122498,Outstanding
217,Reid,Hill,51,F,6/5/1937,3/31/2021,7/25/2023,HR,152605,Outstanding
218,Shane,Christian,31,F,9/30/1952,10/25/2020,10/20/2022,Customer Service,179867,Meets
219,Melissa,Benson,27,Decline to comment,10/28/1958,2/19/2023,4/11/2025,Operations,100987,Outstanding
220,Christine,Hudson ,69,N/A,5/23/1955,8/16/2021,4/24/2024,Customer Service,71027,Outstanding
221,William,Clark,30,M,4/8/1988,9/14/2021,3/16/2024,Engineering,146064,Below
222,Richard,Houston,45,F,1/12/1993,11/9/2023,12/1/2024,IT,165414,Meets
223,Bianca,Brown,31,F,4/16/1949,7/2/2020,2/21/2023,Sales,85255,Needs Improvement
224,Laura,Young,26,M,7/29/1951,12/2/2023,11/17/2026,HR,134045,Needs Improvement
225,Jennifer,Williams,43,Decline to comment,NULL,12/5/2022,9/17/2023,Customer Service,106631,Below
226,Wise,Brown,70,N/A,3/14/1950,12/3/2020,9/15/2021,HR,134208,Outstanding
227,William,Houston,28,M,9/3/1996,12/22/2020,10/6/2024,Marketing,199930,Below
228,Brian,Banks,44,M,9/7/1991,3/3/2020,9/22/2021,Marketing,158903,Below
229,Fuentes,Adams,45,F,6/28/1911,7/13/2022,2/26/2024,HR,162844,Meets
230,Christian,Payne,65,Decline to comment,11/2/1968,12/2/2023,10/15/2025,Customer Service,56853,Outstanding
231,Joseph,Harris,26,Decline to comment,5/6/1999,12/2/2023,3/18/2028,Sales,172797,Exceeds
232,Dean,Howard,53,F,NULL,2/5/2020,1/31/2023,Operations,161339,Exceeds
233,Judith,Mcintyre,44,M,9/26/1977,2/25/2023,1/21/2025,IT,71819,Needs Improvement
234,Jerry,Gillespie,26,M,4/26/2001,6/19/2021,4/4/2023,HR,112957,Below
235,Mitchell,Patel,62,M,10/21/1946,7/1/2022,4/19/2024,Marketing,88281,Outstanding
236,Sarah ,West,30,F,7/8/2002,12/2/2023,4/16/2028,IT,38481,Below
237,Daniel,Coleman ,91,M,1/16/1933,2/15/2021,7/28/2022,Customer Service,81405,Below
238,Veronica,Howard,22,F,11/2/2023,12/2/2023,5/9/2027,Finance,123158,Exceeds
239,Morgan,Fuentes,50,Decline to comment,11/5/1931,12/2/2023,6/28/2024,Marketing,195418,Below
240,William,Fernandez ,64,F,8/17/1962,4/9/2022,12/27/2024,Customer Service,34215,Needs Improvement
241,Brandon,Anderson,41,M,1/1/1957,11/2/2021,4/10/2024,Engineering,100140,Below
242,Caleb,Miller,66,Decline to comment,5/6/1955,2/18/2023,4/3/2024,Operations,51758,Below
243,Leonard,Frank,35,M,1/13/1993,6/16/2021,10/16/2021,Marketing,84736,Outstanding
244,Jason,Ramos,57,M,6/22/1944,10/24/2023,12/15/2026,Engineering,131776,Below
245,Christopher,Rose,67,F,9/3/1985,5/24/2021,1/8/2022,IT,140037,Outstanding
246,Matthew,Horton,64,F,12/31/1951,9/30/2021,11/4/2024,Sales,139707,Meets
247,David,Smith,51,F,NULL,12/2/2023,4/29/2025,Marketing,166968,Meets
248,Douglas,Carson,23,F,1/28/1936,4/15/2020,7/10/2021,Finance,106492,Meets
249,Travis,Yates,63,M,10/29/1977,11/19/2021,6/12/2022,Customer Service,76625,Below
250,Caleb,Thompson,35,M,9/26/1990,3/19/2021,12/20/2024,Sales,120416,Outstanding
251,Eugene,Acosta ,34,M,9/20/1912,11/3/2022,8/2/2024,Engineering,141971,Exceeds
252,Brandon,Dorsey,40,F,6/17/2018,4/7/2020,7/29/2020,Marketing,149728,Below
253,Courtney,Clark,69,F,12/18/1908,6/28/2021,2/19/2024,HR,52518,Outstanding
254,Jesse,Torres,104,Decline to comment,11/28/1920,2/21/2020,7/30/2021,Sales,120691,Below
255,Christie ,Jackson,113,F,2/12/1911,5/29/2020,7/2/2021,Engineering,191062,Outstanding
256,Miguel,Laura,23,Decline to comment,12/13/1950,12/2/2023,8/13/2025,HR,186910,Exceeds
257,Samantha,Luna,47,M,6/4/1937,12/2/2023,11/20/2027,IT,82386,Meets
258,Sherri,Harding,49,N/A,10/23/1945,10/28/2021,11/3/2022,Sales,115156,Exceeds
259,April,Willis,35,M,7/15/1918,4/28/2022,6/16/2023,Sales,38459,Below
260,Smith,Krause,47,M,7/29/1985,12/2/2023,12/11/2024,HR,57160,Below
261,Deborah,Ramirez,57,Decline to comment,3/19/1923,4/20/2022,11/30/2025,Marketing,116599,Exceeds
262,Natalie,Rivers,26,N/A,6/10/2014,12/2/2023,8/7/2028,Finance,32026,Below
263,David,Fisher ,50,M,2/10/1923,10/5/2022,8/24/2023,Finance,69744,Exceeds
264,Nicole,Tucker,65,N/A,5/6/1959,6/10/2022,6/7/2024,IT,51411,Below
265,Hannah,Castillo,35,F,9/16/1989,10/3/2022,2/1/2024,Finance,162053,Outstanding
266,Joanne,Johnson ,51,M,5/4/1990,7/1/2020,4/28/2021,Sales,65052,Exceeds
267,Adam,Morales ,111,M,8/15/1913,8/1/2020,9/21/2022,Marketing,30446,Outstanding
268,Karen,Gallagher,26,M,6/4/1982,5/16/2022,12/27/2023,Marketing,13838,Meets
269,Sherry,Hicks,69,M,10/21/2007,3/19/2022,6/2/2022,IT,63980,Meets
270,James,Rodriguez,24,F,NULL,12/2/2023,12/24/2027,Finance,103748,Outstanding
271,Gary ,Mcdowell,67,M,2/18/1955,12/10/2021,4/13/2024,Marketing,62198,Below
272,Kimberly,Wheeler,42,F,10/27/1939,11/26/2023,6/15/2027,HR,165147,Below
273,Desiree,Wright,32,M,11/1/2008,4/12/2022,5/8/2025,Engineering,129916,Below
274,Victor,Cooper,42,N/A,10/24/1926,10/2/2021,1/14/2025,Engineering,175830,Below
275,Logan ,Floyd,33,N/A,10/1/1913,11/17/2021,9/25/2022,IT,146452,Below
276,Maria,Todd,41,M,9/14/1978,4/7/2023,11/22/2025,Customer Service,113778,Needs Improvement
277,Gerald,Weber,44,N/A,11/22/1952,5/22/2021,7/23/2023,Finance,45328,Needs Improvement
278,Kathy,Williams,25,N/A,6/26/2011,8/30/2022,5/24/2025,Engineering,57197,Outstanding
279,Susan,Johnson ,54,M,11/6/1951,11/16/2022,2/19/2025,Finance,88175,Exceeds
280,Sean,Mason,24,Decline to comment,1/9/2001,4/20/2023,7/18/2026,Customer Service,128901,Exceeds
281,Victor,Parker,27,M,6/7/1920,3/11/2022,3/28/2025,Marketing,122811,Exceeds
